GroupId	WebsiteName	PatternType	Missed	Junk	Outof	LeftPattern	RightPattern
1	flipkart	noValuePattern	0	0	4	_files/	.3b8e883c.js"></script><script type="" charset="" async="" crossorigin="" src="./page
1	flipkart	noValuePattern	0	0	4	_files/	.3b8e883c.js" defer="" crossorigin=""></script> <title>
1	flipkart	noValuePattern	0	0	4	"><span>Gifts Sets</span></a></li><li class="_1KCOnI"><a href="" class="_3ZgIXy" title=""><span>The 	 Store</span></a></li><li class="_1KCOnI"><a class="_3ZgIXy" title="" href=""><span>Home Styler Stor
1	flipkart	noValuePattern	0	0	4	="_2GG4xt"><ul class="QPOmNK"><li class="_1KCOnI _1h5QLb"><a class="_3ZgIXy" title="" href=""><span>	 Decor</span><span class="nsslWl"></span></a></li><li class="_1KCOnI"><a class="_3ZgIXy" title="" hr
1	flipkart	noValuePattern	0	0	4	></div></div></div></div></div><div class="_1joEet"><div class="_1HEvv0"><a class="_1KHd47" href="">	</a><svg width="" height="" viewBox="" xmlns="http://www.w3.org/2000/svg" class="_2XP0B_"><path d=""
1	flipkart	noValuePattern	0	0	4	pliances</span></a></li><li class="_1KCOnI _1h5QLb"><a class="_3ZgIXy" title="" href=""><span>Smart 	 Automation</span><span class="nsslWl"></span></a></li><li class="_1KCOnI _1h5QLb"><a class="_3ZgIXy
1	flipkart	noValuePattern	0	0	4	 Top Box</span></a></li><li class="_1KCOnI _1h5QLb"><a class="_3ZgIXy" title="" href=""><span>Smart 	 Automation</span><span class="nsslWl"></span></a></li><li class="_1KCOnI _1h5QLb"><a href="" class=
1	flipkart	noValuePattern	0	0	4	"" href=""><span>Bosch</span></a></li><li class="_1KCOnI"><a class="_3ZgIXy" title="" href=""><span>	Town</span></a></li><li class="_1KCOnI"><a class="_3ZgIXy" title="" href=""><span>Ajanta</span></a><
1	flipkart	noValuePattern	0	0	4	lass="nsslWl"></span></a></li><li class="_1KCOnI _1h5QLb"><a class="_3ZgIXy" title="" href=""><span>	 Entertainment</span><span class="nsslWl"></span></a></li><li class="_1KCOnI"><a class="_3ZgIXy" tit
1	flipkart	noValuePattern	0	0	4	an>iPods & MP3 Players</span></a></li><li class="_1KCOnI"><a class="_3ZgIXy" title="" href=""><span>	 Theatres</span></a></li><li class="_1KCOnI"><a class="_3ZgIXy" title="" href=""><span>Speakers</spa
1	flipkart	noValuePattern	0	0	4	 Carpets</span></a></li><li class="_1KCOnI _1h5QLb"><a class="_3ZgIXy" title="" href=""><span>Smart 	 Automation</span><span class="nsslWl"></span></a></li><li class="_1KCOnI"><a class="_3ZgIXy" title=
1	flipkart	noValuePattern	0	0	4	ref=""><span>Yoga Mats</span></a></li><li class="_1KCOnI"><a class="_3ZgIXy" title="" href=""><span>	gyms</span></a></li><li class="_1KCOnI"><a class="_3ZgIXy" title="" href=""><span>Cardio Equipment</
1	flipkart	noValuePattern	0	0	4	"><span>The Home Store</span></a></li><li class="_1KCOnI"><a class="_3ZgIXy" title="" href=""><span>	 Styler Store</span></a></li><li class="_1KCOnI"><a class="_3ZgIXy" title="" href=""><span>Flipkart 
1	flipkart	noValuePattern	0	0	4	</ul></li></ul></li></ul></li><li class="Wbt_B2"><a href="" title="" class="_1QZ6fC"><span class="">	 & Furniture</span><svg width="" height="" viewBox="" xmlns="http://www.w3.org/2000/svg" class="_3yn
1	flipkart	noValuePattern	0	0	4	4xt"><ul class="QPOmNK"><li class="_1KCOnI _1h5QLb"><a class="_3ZgIXy" title="" href=""><span>Small 	 Appliances</span><span class="nsslWl"></span></a></li><li class="_1KCOnI"><a class="_3ZgIXy" title=
2	amazon	noValuePattern	0	0	4	</option> <option current="" selected="" value="">	</option> <option value="">
2	amazon	noValuePattern	0	0	4	</span> <span class="zg_hrsr_ladder">in&nbsp;<a href="">	</a> &gt; <a href="">
2	amazon	noValuePattern	0	0	4	 in 	 (<a href="">See 
2	amazon	noValuePattern	0	0	4	al a-size-small"> <li><span class="a-list-item"> <a class="a-link-normal a-color-tertiary" href=""> 	 </a> </span></li> <li class="a-breadcrumb-divider"><span class="a-list-item a-color-tertiary"> › 
2	amazon	noValuePattern	0	0	4	 nav-sprite"> <div class="nav-search-facade" data-value=""> <span class="nav-search-label" style="">	</span> <i class="nav-icon"></i> </div> <span id="" style="">Select the department you want to searc
